month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
4,16,19.76153846153846,14.846153846153848,53.46153846153846,1005.4000000000003,256.46153846153845,4.253846153846154,586.1538461538463,138.61538461538458,544.6153846153846
5,22,23.45333333333333,17.94,61.26666666666666,1009.9733333333336,62.4,3.4800000000000013,505.6,126.26666666666668,522.0666666666667
4,19,19.899999999999995,14.130769230769232,52.384615384615394,1008.6076923076924,149.0769230769231,4.015384615384615,713.8461538461537,100.0,572.9230769230769
6,3,19.65333333333333,20.006666666666664,65.4,1008.4133333333333,329.8,3.9666666666666672,27.266666666666666,288.2,307.73333333333335
12,22,19.01818181818182,21.13636363636364,75.63636363636364,1015.481818181818,218.63636363636363,1.836363636363636,271.6363636363636,137.36363636363637,237.45454545454547
3,15,18.684615384615377,10.584615384615386,66.46153846153847,1002.2076923076925,39.92307692307692,2.1,600.9230769230769,89.15384615384615,460.23076923076917
5,3,18.15714285714286,20.62857142857143,52.92857142857143,1004.35,233.5,3.2785714285714285,323.0,195.07142857142856,463.6428571428572
6,10,20.093333333333334,19.206666666666663,65.46666666666667,1010.1200000000003,245.46666666666667,4.093333333333333,563.8666666666667,102.46666666666668,540.7333333333332
8,17,24.69333333333333,15.926666666666666,62.6,1007.7666666666668,304.3333333333333,3.146666666666667,567.4,98.33333333333331,501.4
7,6,21.42,31.073333333333334,70.53333333333333,1006.4133333333333,88.26666666666668,4.1466666666666665,51.73333333333333,229.0,279.4
5,7,19.4,15.74,69.0,999.32,108.26666666666668,3.726666666666667,604.2,91.66666666666669,526.3333333333334
7,2,20.64666666666666,16.146666666666665,65.93333333333334,1006.68,328.8666666666667,3.713333333333333,344.2,189.4,490.26666666666665
5,1,17.253333333333334,16.939999999999998,57.66666666666666,1007.26,19.4,4.033333333333333,565.6,117.66666666666669,500.26666666666665
8,27,28.63076923076923,22.953846153846158,49.0,1006.130769230769,98.3846153846154,4.115384615384615,474.1538461538461,168.53846153846158,510.23076923076917
7,12,22.926666666666666,32.46666666666667,69.4,1006.1133333333332,289.8666666666667,2.9799999999999995,187.2,263.06666666666666,419.2
4,18,19.584615384615386,18.323076923076922,61.384615384615394,1008.4076923076924,25.384615384615387,4.56153846153846,713.0769230769231,91.69230769230771,567.9230769230769
10,1,23.030769230769234,19.59230769230769,65.23076923076923,1008.0384615384617,93.0,3.5384615384615388,452.6923076923077,128.0,415.46153846153845
4,4,19.892307692307693,19.915384615384614,54.769230769230774,1001.3076923076924,258.46153846153845,4.084615384615383,121.30769230769229,252.0,347.0
3,20,14.007692307692306,14.099999999999996,66.38461538461539,1001.7,253.53846153846158,6.438461538461538,203.53846153846158,203.53846153846158,294.61538461538464
12,23,18.118181818181817,12.672727272727276,73.63636363636364,1014.4909090909093,46.09090909090909,4.545454545454546,448.54545454545456,87.0909090909091,272.27272727272725
3,30,20.96153846153846,15.638461538461538,52.07692307692307,1003.8692307692309,264.3076923076923,3.692307692307693,182.7692307692308,245.23076923076923,380.6923076923077
10,3,21.800000000000004,20.4,66.07692307692308,1007.8846153846154,320.23076923076917,3.0307692307692307,267.9230769230769,181.38461538461542,341.07692307692315
1,15,13.372727272727273,12.290909090909093,74.27272727272727,1001.9363636363637,296.3636363636364,1.3818181818181818,399.54545454545456,114.8181818181818,295.3636363636364
9,24,22.246153846153845,29.723076923076924,62.0,1005.392307692308,278.84615384615387,3.338461538461538,199.6923076923077,173.6923076923077,284.15384615384613
11,26,15.818181818181818,16.672727272727272,58.72727272727273,1003.4636363636363,310.6363636363636,3.963636363636364,208.72727272727272,148.0909090909091,234.9090909090909
3,16,19.107692307692307,12.584615384615386,66.30769230769229,1000.4153846153844,117.3846153846154,2.376923076923077,618.0769230769231,95.07692307692308,460.46153846153845
7,21,23.53333333333333,20.746666666666673,60.13333333333333,1005.8466666666666,11.133333333333333,3.98,250.46666666666667,237.6,448.4666666666666
5,16,22.86,15.773333333333332,57.46666666666667,993.8866666666668,131.46666666666667,4.5,569.3333333333334,122.0,529.6666666666666
8,21,23.485714285714288,19.028571428571436,60.42857142857143,1004.8785714285713,281.07142857142856,2.7428571428571433,607.7857142857142,111.21428571428572,523.8571428571429
4,29,18.26428571428571,20.507142857142856,63.42857142857143,1001.8857142857142,315.92857142857144,3.3000000000000003,305.92857142857144,199.28571428571428,431.57142857142856
2,14,19.433333333333334,9.258333333333333,47.25,1004.0750000000003,100.66666666666669,2.55,685.3333333333334,56.91666666666666,398.5
6,28,21.620000000000005,15.893333333333333,63.0,1009.2533333333333,259.26666666666665,4.3933333333333335,554.8666666666667,125.86666666666666,543.8
12,21,16.236363636363635,18.027272727272727,69.63636363636364,1015.8,43.36363636363637,4.190909090909091,610.4545454545455,48.72727272727273,298.54545454545456
10,19,25.03333333333333,24.025,52.66666666666666,1007.0083333333333,252.25,2.016666666666667,535.9166666666666,119.33333333333331,386.58333333333326
6,16,20.113333333333333,17.226666666666667,60.46666666666667,1008.8066666666666,283.53333333333336,3.4466666666666668,587.6,101.73333333333332,555.4
6,9,19.586666666666666,14.253333333333332,60.93333333333333,1012.2866666666665,327.46666666666664,4.2333333333333325,680.8,85.26666666666667,568.1333333333333
6,25,23.013333333333332,24.93333333333333,68.66666666666667,1005.72,265.2,2.746666666666667,614.6666666666666,100.26666666666668,551.8
3,14,17.330769230769235,7.976923076923077,69.61538461538461,1003.9615384615383,31.461538461538463,4.692307692307692,715.2307692307692,63.69230769230769,475.6923076923077
