,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2018-12-31,12,2018-12-31,14.654545454545454,11.209090909090909,67.36363636363636,1005.7545454545453,87.0909090909091,1.9363636363636365,599.3636363636364,58.45454545454545,305.0
2019-01-01,1,2019-01-01,15.0,8.78181818181818,66.18181818181819,1009.6090909090908,180.9090909090909,1.2999999999999998,538.6363636363636,71.27272727272727,297.27272727272725
2019-01-02,1,2019-01-02,14.045454545454545,9.809090909090909,73.27272727272727,1008.9545454545456,189.63636363636363,1.1454545454545455,467.3636363636364,93.54545454545455,285.8181818181818
2019-01-03,1,2019-01-03,13.509090909090908,8.10909090909091,72.9090909090909,1005.3181818181819,51.27272727272727,2.7636363636363637,646.1818181818181,51.72727272727273,315.54545454545456
2019-01-04,1,2019-01-04,13.836363636363638,7.236363636363635,70.36363636363636,1006.4363636363636,56.0,2.0272727272727273,659.2727272727273,49.54545454545455,319.45454545454544
2019-01-05,1,2019-01-05,14.22727272727273,7.072727272727274,63.36363636363637,1009.7363636363639,59.09090909090909,1.7272727272727275,674.8181818181819,47.09090909090909,322.09090909090907
2019-01-06,1,2019-01-06,13.881818181818181,5.672727272727273,64.63636363636364,1009.4545454545455,64.54545454545455,1.4545454545454546,656.5454545454545,51.27272727272727,324.54545454545456
2019-01-07,1,2019-01-07,13.245454545454548,6.254545454545456,67.27272727272727,1007.6909090909091,48.27272727272727,1.6363636363636365,677.0909090909091,48.54545454545455,326.09090909090907
2019-01-08,1,2019-01-08,12.909090909090908,5.681818181818182,62.27272727272727,1005.5363636363636,50.90909090909091,3.0090909090909093,687.6363636363636,47.63636363636363,330.0
2019-01-09,1,2019-01-09,13.363636363636363,9.054545454545455,66.63636363636364,1002.3636363636364,231.27272727272728,1.418181818181818,653.1818181818181,52.0,322.45454545454544
2019-01-10,1,2019-01-10,13.336363636363636,11.672727272727274,72.45454545454545,998.8818181818183,264.09090909090907,1.6,575.9090909090909,73.63636363636364,311.09090909090907
2019-01-11,1,2019-01-11,13.563636363636363,9.518181818181818,73.63636363636364,1001.3090909090909,59.45454545454545,3.6181818181818186,629.1818181818181,59.18181818181818,323.90909090909093
2019-01-12,1,2019-01-12,13.700000000000001,9.245454545454548,63.0,1003.5818181818181,52.90909090909091,3.027272727272727,674.5454545454545,49.18181818181818,329.90909090909093
2019-01-13,1,2019-01-13,13.827272727272726,9.354545454545455,61.45454545454545,1005.7090909090908,94.0,1.4545454545454544,663.4545454545455,50.63636363636363,330.8181818181818
2019-01-14,1,2019-01-14,13.845454545454544,9.472727272727273,67.27272727272727,1003.9090909090908,251.27272727272728,1.3454545454545455,652.8181818181819,55.18181818181818,331.6363636363636
2019-01-15,1,2019-01-15,13.372727272727273,12.290909090909093,74.27272727272727,1001.9363636363636,296.3636363636364,1.3818181818181818,399.54545454545456,114.81818181818181,295.3636363636364
2019-01-16,1,2019-01-16,13.91818181818182,13.018181818181818,70.0909090909091,1000.6181818181819,257.6363636363636,1.7363636363636366,471.09090909090907,100.9090909090909,307.90909090909093
2019-01-17,1,2019-01-17,12.636363636363637,16.863636363636367,79.63636363636364,998.8909090909092,274.90909090909093,1.8545454545454545,509.72727272727275,89.63636363636364,310.6363636363636
2019-01-18,1,2019-01-18,13.236363636363636,14.399999999999999,77.0909090909091,1001.4181818181819,52.72727272727273,2.3363636363636364,528.2727272727273,84.0909090909091,321.27272727272725
2019-01-19,1,2019-01-19,13.909090909090908,22.10909090909091,82.63636363636364,1003.7909090909092,266.45454545454544,4.199999999999999,10.272727272727273,175.72727272727272,180.72727272727272
2019-01-20,1,2019-01-20,14.418181818181818,15.481818181818182,88.27272727272727,1001.3181818181819,309.0,5.636363636363636,58.27272727272727,167.45454545454547,186.1818181818182
2019-01-21,1,2019-01-21,13.672727272727274,12.209090909090907,70.9090909090909,1002.8727272727272,258.09090909090907,3.9363636363636356,366.8181818181818,134.1818181818182,293.6363636363636
2019-01-22,1,2019-01-22,13.272727272727273,13.190909090909093,65.72727272727273,1005.5181818181819,289.6363636363636,2.927272727272727,385.8181818181818,126.36363636363636,279.45454545454544
2019-01-23,1,2019-01-23,12.690909090909093,18.39090909090909,84.81818181818181,1003.2545454545456,308.09090909090907,3.6181818181818177,66.45454545454545,154.8181818181818,177.0909090909091
2019-01-24,1,2019-01-24,14.1,19.999999999999996,84.54545454545455,996.9727272727272,130.63636363636363,3.1909090909090905,118.63636363636364,174.0909090909091,212.54545454545453
2019-01-25,1,2019-01-25,15.409090909090908,13.490909090909092,78.63636363636364,997.1181818181817,44.18181818181818,3.7545454545454544,647.3636363636364,66.36363636363636,349.90909090909093
2019-01-26,1,2019-01-26,14.836363636363636,12.427272727272726,78.54545454545455,1000.5818181818181,254.36363636363637,1.2545454545454546,397.09090909090907,114.36363636363636,304.90909090909093
2019-01-27,1,2019-01-27,14.463636363636363,14.47272727272727,81.36363636363636,1003.3454545454547,301.54545454545456,2.5636363636363635,160.45454545454547,195.0,259.09090909090907
2019-01-28,1,2019-01-28,14.536363636363637,13.836363636363638,69.54545454545455,1005.9545454545455,13.090909090909092,4.136363636363637,443.8181818181818,115.0,326.54545454545456
2019-01-29,1,2019-01-29,15.172727272727276,15.254545454545452,71.36363636363636,1004.6181818181817,116.63636363636364,3.690909090909091,149.63636363636363,203.1818181818182,263.90909090909093
2019-01-30,1,2019-01-30,14.709090909090907,18.60909090909091,73.9090909090909,1001.2363636363636,337.1818181818182,2.2636363636363637,48.54545454545455,199.45454545454547,218.27272727272728
2019-01-31,1,2019-01-31,14.936363636363636,17.799999999999997,70.27272727272727,997.4454545454545,251.1818181818182,4.545454545454546,19.181818181818183,218.9090909090909,227.36363636363637
2019-02-01,2,2019-02-01,15.009090909090908,21.381818181818183,84.45454545454545,992.5909090909091,262.1818181818182,8.890909090909092,76.72727272727273,137.0,153.36363636363637
2019-02-02,2,2019-02-02,13.69090909090909,12.354545454545452,68.36363636363636,1001.5090909090909,271.90909090909093,5.245454545454545,228.54545454545453,175.63636363636363,274.90909090909093
2019-02-03,2,2019-02-03,12.672727272727274,9.236363636363635,57.18181818181818,1006.7454545454547,40.54545454545455,5.127272727272727,676.8181818181819,73.36363636363636,383.27272727272725
2019-02-04,2,2019-02-04,13.872727272727273,5.7727272727272725,58.09090909090909,1005.5363636363636,47.72727272727273,5.154545454545455,768.0,49.54545454545455,407.1818181818182
2019-02-05,2,2019-02-05,15.109090909090911,8.745454545454546,65.36363636363636,1007.0636363636364,60.63636363636363,1.6909090909090911,730.8181818181819,56.45454545454545,402.54545454545456
2019-02-06,2,2019-02-06,15.445454545454544,10.572727272727274,66.36363636363636,1005.0727272727272,192.36363636363637,1.9363636363636367,703.0909090909091,62.63636363636363,399.90909090909093
2019-02-07,2,2019-02-07,15.01818181818182,12.336363636363636,80.54545454545455,1004.5000000000001,130.0,1.9,550.0,107.0,377.0
2019-02-08,2,2019-02-08,14.091666666666667,11.608333333333334,81.5,1003.4166666666665,36.5,2.025,554.5,76.33333333333333,360.6666666666667
2019-02-09,2,2019-02-09,15.100000000000001,11.674999999999999,76.66666666666667,1003.6916666666667,39.0,1.9416666666666664,623.0,63.833333333333336,373.25
2019-02-10,2,2019-02-10,15.308333333333337,11.525,74.16666666666667,1006.7583333333333,38.666666666666664,2.8416666666666663,635.25,61.75,378.0833333333333
2019-02-11,2,2019-02-11,15.891666666666666,9.266666666666666,71.0,1006.8166666666666,42.333333333333336,4.175,674.8333333333334,55.583333333333336,387.0833333333333
2019-02-12,2,2019-02-12,16.225,11.666666666666666,77.41666666666667,1004.8916666666668,40.5,3.5666666666666664,226.5,169.83333333333334,299.25
2019-02-13,2,2019-02-13,17.075,9.075,66.08333333333333,1004.4999999999999,78.41666666666667,1.5499999999999998,637.3333333333334,78.66666666666667,384.8333333333333
2019-02-14,2,2019-02-14,19.433333333333334,9.258333333333333,47.25,1004.0750000000002,100.66666666666667,2.55,685.3333333333334,56.916666666666664,398.5
2019-02-15,2,2019-02-15,17.125,11.841666666666663,53.583333333333336,1000.2416666666667,223.83333333333334,2.866666666666667,433.3333333333333,113.91666666666667,346.25
2019-02-16,2,2019-02-16,16.93333333333333,14.191666666666668,64.33333333333333,999.1666666666666,228.75,2.5416666666666665,203.91666666666666,183.5,302.3333333333333
2019-02-17,2,2019-02-17,15.758333333333333,13.816666666666665,67.5,1000.4083333333333,243.66666666666666,2.0500000000000003,314.5,155.41666666666666,333.5
2019-02-18,2,2019-02-18,12.891666666666667,18.86666666666667,84.83333333333333,995.9500000000002,225.75,5.391666666666667,3.3333333333333335,131.5,132.08333333333334
2019-02-19,2,2019-02-19,14.200000000000001,12.424999999999999,61.083333333333336,997.6333333333332,80.33333333333333,2.8666666666666667,498.1666666666667,108.58333333333333,379.1666666666667
2019-02-20,2,2019-02-20,15.641666666666666,14.766666666666671,67.33333333333333,1000.0166666666668,57.416666666666664,2.1999999999999997,519.8333333333334,103.75,388.8333333333333
2019-02-21,2,2019-02-21,17.658333333333335,12.608333333333334,58.5,1003.0583333333333,83.91666666666667,1.9666666666666661,589.6666666666666,87.83333333333333,404.9166666666667
2019-02-22,2,2019-02-22,19.433333333333334,11.358333333333334,50.0,1006.025,79.75,2.883333333333333,532.0,107.16666666666667,400.6666666666667
2019-02-23,2,2019-02-23,18.841666666666665,7.949999999999998,51.666666666666664,1006.8333333333335,56.083333333333336,3.525,515.1666666666666,111.83333333333333,407.0
2019-02-24,2,2019-02-24,17.991666666666664,7.033333333333334,58.916666666666664,1004.2583333333333,43.5,4.216666666666668,678.0,70.83333333333333,437.0833333333333
2019-02-25,2,2019-02-25,19.241666666666664,8.55,50.916666666666664,1002.3583333333332,77.33333333333333,3.041666666666666,721.25,59.083333333333336,444.1666666666667
2019-02-26,2,2019-02-26,19.616666666666667,10.341666666666667,55.583333333333336,1003.0166666666668,74.5,1.8666666666666665,644.8333333333334,80.33333333333333,434.5833333333333
